Date,Stock Splits,Stock
2011-03-07,2.0,HINDZINC
2008-04-16,2.0,CONCOR
2013-09-06,1.5,CONCOR
2017-04-05,1.25,CONCOR
2018-06-26,2.0,CONCOR
2019-02-04,1.25,CONCOR
2017-11-09,5.0,IGL
2007-01-25,1.5,DABUR
2010-09-08,2.0,DABUR
2010-04-05,1.5,CADILAHC
2015-10-06,5.0,CADILAHC
2017-06-22,2.0,GODREJCP
2018-09-12,1.5,GODREJCP
2010-10-08,2.0,HAVELLS
2014-08-26,5.0,HAVELLS
2015-09-23,2.0,COLPAL
2016-08-26,2.0,PFC
2007-02-21,10.0,MARICO
2015-12-22,2.0,MARICO
2013-07-23,2.0,TORNTPHARM
2015-01-22,5.0,BANKBARODA
2017-07-03,2.0,PETRONET
2010-03-15,2.0,PIDILITIND
2007-08-30,1.5,MOTHERSUMI
2012-10-03,1.5,MOTHERSUMI
2013-12-20,1.5,MOTHERSUMI
2015-07-23,1.5,MOTHERSUMI
2017-07-05,1.5,MOTHERSUMI
2018-10-30,1.5,MOTHERSUMI
2014-12-18,5.0,PNB
2008-02-29,2.0,SIEMENS
2008-04-10,10.0,NMDC
2008-05-21,3.0,NMDC
2008-09-11,2.0,BIOCON
2017-06-15,3.0,BIOCON
2019-06-12,2.0,BIOCON
2010-08-27,5.0,LUPIN
2015-01-08,2.0,BERGEPAINT
2016-07-15,1.4,BERGEPAINT
2011-02-10,5.0,AUROPHARMA
2015-07-20,2.0,AUROPHARMA
2010-09-27,2.0,NAUKRI
2012-06-22,2.0,NAUKRI
2007-08-03,5.0,DIVISLAB
2009-07-30,2.0,DIVISLAB
2015-09-23,2.0,DIVISLAB
2018-07-12,2.0,GICRE
2016-09-14,3.0,HINDPETRO
2017-07-11,1.5,HINDPETRO
